Layer name,In channels,kernel_size,index_channel,input_sparsity,weight_sparsity,Level(128->32) skip counts,Level(128->32) skip rate,Level(32->16) skip counts,Level(32->16) skip rate,Level(16->8) skip counts,Level(16->8) skip rate,Level(8->4) skip counts,Level(8->4) skip rate,Level(4->2) skip counts,Level(4->2) skip rate,Level(2->1) skip counts,Level(2->1) skip rate,compute count,weights_update_time
16/conv1/conv,128,3,1,0.548455810546875,0.4539930555555556,144107,0.13030508535879629,77406,0.13998480902777777,17034,0.061610243055555555,5610,0.040581597222222224,2011,0.029094328703703702,911,0.026359953703703705,34560,9
16/conv2/conv,512,3,92,0.8965535481770833,0.4463975694444444,3019489,0.6825740107783564,1452687,0.6567776150173611,499709,0.45184913917824077,137988,0.24954427083333333,31634,0.11441695601851852,7817,0.05654658564814815,138240,36
18/conv,256,1,123,0.6583587646484375,0.5,69940,0.2845865885416667,30345,0.2469482421875,5184,0.084375,848,0.027604166666666666,59,0.003841145833333333,8,0.0010416666666666667,7680,2
19/Conv/pwconv1,128,1,170,0.5104044596354167,0.5078125,24326,0.19796549479166667,13335,0.217041015625,2953,0.09612630208333334,430,0.027994791666666668,57,0.007421875,2,0.0005208333333333333,3840,1
19/Conv/pwconv3,256,1,56,0.7706980387369792,0.5234375,92926,0.37811686197916666,54555,0.4439697265625,14083,0.22921549479166667,2803,0.09124348958333334,475,0.030924479166666668,84,0.0109375,7680,2
19/conv1/conv,128,3,195,0.5479410807291667,0.4592013888888889,170718,0.1543674045138889,84602,0.1529984085648148,17560,0.06351273148148148,5061,0.036610243055555554,1915,0.027705439814814815,800,0.023148148148148147,34560,9
19/conv2/conv,512,3,125,0.9086110432942708,0.5416666666666666,3184140,0.7197943793402778,1615742,0.7304967809606482,606680,0.5485749421296297,187939,0.3398781105324074,47179,0.17064163773148147,11193,0.08096788194444444,138240,36
2/Conv/pwconv3,128,1,32,0.5910115559895833,0.5078125,96115,0.19554646809895834,49618,0.20189615885416667,5548,0.045149739583333334,925,0.015055338541666666,157,0.005110677083333333,4,0.00026041666666666666,15360,1
2/conv2/conv,256,3,51,0.8386604309082031,0.5282118055555556,4965011,0.5611855966073496,2521679,0.5700410065827546,786347,0.3555171260127315,200696,0.1814742476851852,42139,0.07620623553240741,10197,0.036881510416666666,276480,18
20/conv,128,3,86,0.5908650716145833,0.5555555555555556,66163,0.23930483217592594,37969,0.27466001157407405,6871,0.09940682870370371,1368,0.03958333333333333,518,0.029976851851851852,229,0.026504629629629628,8640,9
22/Conv/pwconv1,256,1,144,0.5698527018229167,0.51953125,13305,0.216552734375,7052,0.22955729166666666,1197,0.0779296875,276,0.0359375,41,0.010677083333333334,4,0.0020833333333333333,1920,2
22/Conv/pwconv3,512,1,53,0.7763509114583333,0.501953125,51789,0.4214599609375,28017,0.456005859375,7411,0.24124348958333333,1342,0.08736979166666667,234,0.03046875,44,0.011458333333333333,3840,4
22/conv1/conv1,256,1,248,0.6346394856770833,0.453125,12046,0.19606119791666668,5197,0.16917317708333332,801,0.0521484375,151,0.019661458333333333,34,0.008854166666666666,8,0.004166666666666667,1920,2
22/conv1/conv3,256,1,277,0.6791056315104167,0.4765625,16750,0.2726236979166667,7867,0.25608723958333335,1504,0.09791666666666667,247,0.03216145833333333,42,0.0109375,11,0.005729166666666666,1920,2
22/conv2/conv1,512,1,480,0.74814453125,0.421875,41806,0.3402180989583333,18744,0.305078125,3930,0.1279296875,729,0.0474609375,149,0.019401041666666667,35,0.009114583333333334,3840,4
22/conv2/conv3,512,1,210,0.768743896484375,0.53125,48164,0.3919596354166667,27480,0.447265625,7262,0.23639322916666666,1526,0.09934895833333333,276,0.0359375,56,0.014583333333333334,3840,4
23/conv,256,3,92,0.6921061197916667,0.4509548611111111,43108,0.31183449074074077,20879,0.30206886574074077,4865,0.14076967592592593,1295,0.07494212962962964,463,0.05358796296296296,217,0.05023148148148148,4320,18
25/Conv/pwconv1,256,1,488,0.66220703125,0.54296875,4326,0.281640625,2819,0.3670572916666667,760,0.19791666666666666,164,0.08541666666666667,39,0.040625,1,0.0020833333333333333,480,2
25/Conv/pwconv3,512,1,201,0.701220703125,0.55859375,9431,0.3069986979166667,5552,0.3614583333333333,1218,0.15859375,200,0.052083333333333336,43,0.022395833333333334,11,0.011458333333333333,960,4
25/conv1/conv1,256,1,193,0.602880859375,0.43359375,2536,0.16510416666666666,1379,0.17955729166666667,226,0.058854166666666666,51,0.0265625,13,0.013541666666666667,3,0.00625,480,2
25/conv1/conv3,256,1,75,0.7177408854166667,0.48828125,4799,0.31243489583333334,2425,0.3157552083333333,456,0.11875,103,0.05364583333333333,17,0.017708333333333333,2,0.004166666666666667,480,2
