layer_name,num_parameters,zero_count,one_count,negative_one_count,nonzero_count,zero_ratio,nonzero_ratio,one_ratio,negative_one_ratio,sparsity
26/dfl/conv,16,1,15,0,15,0.0625,0.9375,0.9375,0.0,0.0625
14/conv,49152,23604,12843,12705,25548,0.480224609375,0.519775390625,0.26129150390625,0.25848388671875,0.480224609375
3/encode_conv,73728,39706,16658,17364,34022,0.5385470920138888,0.4614529079861111,0.22593858506944445,0.23551432291666666,0.5385470920138888
6/2/conv1/conv1,65536,29384,17296,18856,36152,0.4483642578125,0.5516357421875,0.263916015625,0.2877197265625,0.4483642578125
6/2/conv1/conv2,2304,974,979,351,1330,0.4227430555555556,0.5772569444444444,0.4249131944444444,0.15234375,0.4227430555555556
6/2/conv1/conv3,131072,58205,34331,38536,72867,0.44406890869140625,0.5559310913085938,0.26192474365234375,0.29400634765625,0.44406890869140625
6/2/Conv/pwconv1,131072,58964,33255,38853,72108,0.449859619140625,0.550140380859375,0.25371551513671875,0.29642486572265625,0.449859619140625
6/2/Conv/dwconv4,2304,670,782,852,1634,0.2907986111111111,0.7092013888888888,0.3394097222222222,0.3697916666666667,0.2907986111111111
6/2/Conv/dwconv2,25088,12120,7966,5002,12968,0.4830994897959184,0.5169005102040817,0.31752232142857145,0.1993781887755102,0.4830994897959184
6/2/Conv/pwconv3,131072,58767,34424,37881,72305,0.44835662841796875,0.5516433715820312,0.26263427734375,0.28900909423828125,0.44835662841796875
6/2/conv2/conv1,262144,112827,72756,76561,149317,0.4304008483886719,0.5695991516113281,0.2775421142578125,0.2920570373535156,0.4304008483886719
6/2/conv2/conv2,4608,1722,1504,1382,2886,0.3736979166666667,0.6263020833333334,0.3263888888888889,0.2999131944444444,0.3736979166666667
6/2/conv2/conv3,131072,61073,32680,37319,69999,0.46595001220703125,0.5340499877929688,0.24932861328125,0.28472137451171875,0.46595001220703125
6/1/conv1/conv1,65536,29466,17368,18702,36070,0.449615478515625,0.550384521484375,0.2650146484375,0.285369873046875,0.449615478515625
6/1/conv1/conv2,2304,1098,772,434,1206,0.4765625,0.5234375,0.3350694444444444,0.18836805555555555,0.4765625
6/1/conv1/conv3,131072,57354,33723,39995,73718,0.4375762939453125,0.5624237060546875,0.25728607177734375,0.30513763427734375,0.4375762939453125
6/1/Conv/pwconv1,131072,58984,32279,39809,72088,0.45001220703125,0.54998779296875,0.24626922607421875,0.30371856689453125,0.45001220703125
6/1/Conv/dwconv4,2304,652,747,905,1652,0.2829861111111111,0.7170138888888888,0.32421875,0.3927951388888889,0.2829861111111111
6/1/Conv/dwconv2,25088,12423,7807,4858,12665,0.4951769770408163,0.5048230229591837,0.31118463010204084,0.19363839285714285,0.4951769770408163
6/1/Conv/pwconv3,131072,59444,34488,37140,71628,0.453521728515625,0.546478271484375,0.26312255859375,0.283355712890625,0.453521728515625
6/1/conv2/conv1,262144,113187,70891,78066,148957,0.4317741394042969,0.5682258605957031,0.2704277038574219,0.29779815673828125,0.4317741394042969
6/1/conv2/conv2,4608,1977,1401,1230,2631,0.4290364583333333,0.5709635416666666,0.3040364583333333,0.2669270833333333,0.4290364583333333
6/1/conv2/conv3,131072,61092,31762,38218,69980,0.466094970703125,0.533905029296875,0.2423248291015625,0.2915802001953125,0.466094970703125
6/0/conv1/conv1,65536,30711,16141,18684,34825,0.4686126708984375,0.5313873291015625,0.2462921142578125,0.28509521484375,0.4686126708984375
6/0/conv1/conv2,2304,1153,756,395,1151,0.5004340277777778,0.4995659722222222,0.328125,0.1714409722222222,0.5004340277777778
6/0/conv1/conv3,131072,57684,33259,40129,73388,0.440093994140625,0.559906005859375,0.25374603271484375,0.30615997314453125,0.440093994140625
6/0/Conv/pwconv1,131072,59342,32547,39183,71730,0.4527435302734375,0.5472564697265625,0.24831390380859375,0.29894256591796875,0.4527435302734375
6/0/Conv/dwconv4,2304,758,729,817,1546,0.3289930555555556,0.6710069444444444,0.31640625,0.3546006944444444,0.3289930555555556
6/0/Conv/dwconv2,25088,12559,6085,6444,12529,0.5005978954081632,0.49940210459183676,0.24254623724489796,0.25685586734693877,0.5005978954081632
6/0/Conv/pwconv3,131072,60554,33816,36702,70518,0.4619903564453125,0.5380096435546875,0.25799560546875,0.2800140380859375,0.4619903564453125
6/0/conv2/conv1,262144,113510,68993,79641,148634,0.43300628662109375,0.5669937133789062,0.2631874084472656,0.3038063049316406,0.43300628662109375
6/0/conv2/conv2,4608,1993,1446,1169,2615,0.4325086805555556,0.5674913194444444,0.3138020833333333,0.2536892361111111,0.4325086805555556
6/0/conv2/conv3,131072,59184,31461,40427,71888,0.4515380859375,0.5484619140625,0.24002838134765625,0.30843353271484375,0.4515380859375
8/conv1/conv1,65536,29500,17786,18250,36036,0.45013427734375,0.54986572265625,0.271392822265625,0.278472900390625,0.45013427734375
8/conv1/conv2,2304,789,692,823,1515,0.3424479166666667,0.6575520833333334,0.3003472222222222,0.3572048611111111,0.3424479166666667
8/conv1/conv3,65536,31200,16588,17748,34336,0.47607421875,0.52392578125,0.25311279296875,0.27081298828125,0.47607421875
8/Conv/pwconv1,131072,56979,36683,37410,74093,0.43471527099609375,0.5652847290039062,0.27986907958984375,0.2854156494140625,0.43471527099609375
8/Conv/dwconv4,2304,572,702,1030,1732,0.2482638888888889,0.7517361111111112,0.3046875,0.4470486111111111,0.2482638888888889
8/Conv/dwconv2,25088,11246,5527,8315,13842,0.44826211734693877,0.5517378826530612,0.2203045280612245,0.33143335459183676,0.44826211734693877
8/Conv/pwconv3,131072,58750,33333,38989,72322,0.4482269287109375,0.5517730712890625,0.25431060791015625,0.29746246337890625,0.4482269287109375
8/conv2/conv1,65536,28471,17644,19421,37065,0.4344329833984375,0.5655670166015625,0.26922607421875,0.2963409423828125,0.4344329833984375
8/conv2/conv2,2304,825,717,762,1479,0.3580729166666667,0.6419270833333334,0.3111979166666667,0.3307291666666667,0.3580729166666667
8/conv2/conv3,65536,28598,16185,20753,36938,0.436370849609375,0.563629150390625,0.2469635009765625,0.3166656494140625,0.436370849609375
10/conv,32768,14505,9223,9040,18263,0.442657470703125,0.557342529296875,0.281463623046875,0.27587890625,0.442657470703125
2/conv1/conv,147456,93349,26382,27725,54107,0.6330634223090278,0.3669365776909722,0.17891438802083334,0.1880221896701389,0.6330634223090278
2/Conv/pwconv1,8192,5203,1645,1344,2989,0.6351318359375,0.3648681640625,0.2008056640625,0.1640625,0.6351318359375
2/Conv/dwconv4,576,381,109,86,195,0.6614583333333334,0.3385416666666667,0.1892361111111111,0.14930555555555555,0.6614583333333334
2/Conv/dwconv2,6272,4614,888,770,1658,0.7356505102040817,0.2643494897959184,0.14158163265306123,0.12276785714285714,0.7356505102040817
2/Conv/pwconv3,8192,5058,1509,1625,3134,0.617431640625,0.382568359375,0.1842041015625,0.1983642578125,0.617431640625
2/conv2/conv,147456,77066,34622,35768,70390,0.5226372612847222,0.4773627387152778,0.2347954644097222,0.24256727430555555,0.5226372612847222
7/encode_conv,589824,258564,161869,169391,331260,0.4383748372395833,0.5616251627604166,0.2744361029730903,0.2871890597873264,0.4383748372395833
9/cv2/conv,131072,59909,35354,35809,71163,0.45706939697265625,0.5429306030273438,0.2697296142578125,0.27320098876953125,0.45706939697265625
9/cv1/conv,32768,14653,9090,9025,18115,0.447174072265625,0.552825927734375,0.27740478515625,0.275421142578125,0.447174072265625
22/conv1/conv1,65536,37136,14418,13982,28400,0.566650390625,0.433349609375,0.220001220703125,0.213348388671875,0.566650390625
22/conv1/conv2,2304,1117,783,404,1187,0.4848090277777778,0.5151909722222222,0.33984375,0.1753472222222222,0.4848090277777778
22/conv1/conv3,131072,62786,31547,36739,68286,0.4790191650390625,0.5209808349609375,0.24068450927734375,0.28029632568359375,0.4790191650390625
22/Conv/pwconv1,131072,67226,31451,32395,63846,0.5128936767578125,0.4871063232421875,0.23995208740234375,0.24715423583984375,0.5128936767578125
22/Conv/dwconv4,2304,1085,602,617,1219,0.4709201388888889,0.5290798611111112,0.2612847222222222,0.2677951388888889,0.4709201388888889
22/Conv/dwconv2,25088,15266,4896,4926,9822,0.6084980867346939,0.39150191326530615,0.1951530612244898,0.1963488520408163,0.6084980867346939
22/Conv/pwconv3,131072,74170,27860,29042,56902,0.5658721923828125,0.4341278076171875,0.212554931640625,0.2215728759765625,0.5658721923828125
22/conv2/conv1,262144,119776,69060,73308,142368,0.4569091796875,0.5430908203125,0.2634429931640625,0.2796478271484375,0.4569091796875
22/conv2/conv2,4608,2158,1197,1253,2450,0.4683159722222222,0.5316840277777778,0.259765625,0.2719184027777778,0.4683159722222222
22/conv2/conv3,131072,66206,28129,36737,64866,0.5051116943359375,0.4948883056640625,0.21460723876953125,0.28028106689453125,0.5051116943359375
1/encode_conv,9408,5438,1961,2009,3970,0.5780187074829932,0.4219812925170068,0.20843962585034015,0.21354166666666666,0.5780187074829932
16/conv1/conv,589824,263301,138008,188515,326523,0.4464060465494792,0.5535939534505209,0.2339816623263889,0.3196122911241319,0.4464060465494792
16/Conv/pwconv1,32768,15035,8513,9220,17733,0.458831787109375,0.541168212890625,0.259796142578125,0.2813720703125,0.458831787109375
16/Conv/dwconv4,1152,479,239,434,673,0.4157986111111111,0.5842013888888888,0.2074652777777778,0.3767361111111111,0.4157986111111111
16/Conv/dwconv2,12544,5833,4117,2594,6711,0.4650031887755102,0.5349968112244898,0.3282047193877551,0.2067920918367347,0.4650031887755102
16/Conv/pwconv3,32768,15343,8203,9222,17425,0.468231201171875,0.531768798828125,0.250335693359375,0.28143310546875,0.468231201171875
16/conv2/conv,589824,263021,149870,176933,326803,0.4459313286675347,0.5540686713324653,0.2540927463107639,0.2999759250217014,0.4459313286675347
18/conv,32768,17052,7891,7825,15716,0.5203857421875,0.4796142578125,0.240814208984375,0.238800048828125,0.5203857421875
4/1/conv1/conv,589824,274833,141216,173775,314991,0.4659576416015625,0.5340423583984375,0.23942057291666666,0.2946217854817708,0.4659576416015625
4/1/Conv/pwconv1,32768,15996,7581,9191,16772,0.4881591796875,0.5118408203125,0.231353759765625,0.280487060546875,0.4881591796875
4/1/Conv/dwconv4,1152,421,327,404,731,0.3654513888888889,0.6345486111111112,0.2838541666666667,0.3506944444444444,0.3654513888888889
4/1/Conv/dwconv2,12544,7148,2834,2562,5396,0.5698341836734694,0.4301658163265306,0.2259247448979592,0.20424107142857142,0.5698341836734694
4/1/Conv/pwconv3,32768,15885,7995,8888,16883,0.484771728515625,0.515228271484375,0.243988037109375,0.271240234375,0.484771728515625
4/1/conv2/conv,589824,268730,148767,172327,321094,0.4556104871961806,0.5443895128038194,0.2522226969401042,0.2921668158637153,0.4556104871961806
4/0/conv1/conv,589824,289493,139171,161160,300331,0.4908125135633681,0.5091874864366319,0.2359534369574653,0.2732340494791667,0.4908125135633681
4/0/Conv/pwconv1,32768,16548,8012,8208,16220,0.5050048828125,0.4949951171875,0.2445068359375,0.25048828125,0.5050048828125
4/0/Conv/dwconv4,1152,438,271,443,714,0.3802083333333333,0.6197916666666666,0.23524305555555555,0.3845486111111111,0.3802083333333333
4/0/Conv/dwconv2,12544,7197,2420,2927,5347,0.5737404336734694,0.4262595663265306,0.19292091836734693,0.2333386479591837,0.5737404336734694
4/0/Conv/pwconv3,32768,16262,7572,8934,16506,0.49627685546875,0.50372314453125,0.2310791015625,0.27264404296875,0.49627685546875
4/0/conv2/conv,589824,273075,153480,163269,316749,0.4629770914713542,0.5370229085286459,0.2602132161458333,0.2768096923828125,0.4629770914713542
12/conv1/conv1,16384,7169,4425,4790,9215,0.43756103515625,0.56243896484375,0.27008056640625,0.2923583984375,0.43756103515625
12/conv1/conv2,1152,365,353,434,787,0.3168402777777778,0.6831597222222222,0.3064236111111111,0.3767361111111111,0.3168402777777778
12/conv1/conv3,32768,16115,7968,8685,16653,0.491790771484375,0.508209228515625,0.2431640625,0.265045166015625,0.491790771484375
