layer_name,num_parameters,zero_count,one_count,two_count,three_count,nonzero_count,zero_ratio,nonzero_ratio,one_ratio,two_ratio,three_ratio,sparsity
19_SNN-Block-1/step1-8_SepConv/step1_lif1,491520,330313,133929,25409,1869,161207,0.6720235188802083,0.32797648111979166,0.272479248046875,0.05169474283854167,0.003802490234375,0.6720235188802083
19_SNN-Block-1/step1-8_SepConv/step5_lif3,983040,745325,186151,40686,10878,237715,0.7581837972005209,0.24181620279947916,0.18936258951822918,0.041387939453125,0.011065673828125,0.7581837972005209
4_SNN-Block1/1/step10-11_conv1/step10_lif,491520,323150,102441,50705,15224,168370,0.6574503580729166,0.3425496419270833,0.208416748046875,0.10315958658854167,0.030973307291666665,0.6574503580729166
4_SNN-Block1/1/step12-13_conv2/step12_lif,1966080,1827395,119774,16946,1965,138685,0.9294611612955729,0.07053883870442708,0.06092020670572917,0.008619181315104167,0.00099945068359375,0.9294611612955729
4_SNN-Block1/1/step1-8_SepConv/step3_lif2,983040,725840,191195,55143,10862,257200,0.7383626302083334,0.2616373697916667,0.19449361165364584,0.0560943603515625,0.011049397786458333,0.7383626302083334
4_SNN-Block1/1/step1-8_SepConv/step7_lif4,491520,265610,159511,56305,10094,225910,0.5403849283854166,0.4596150716145833,0.32452596028645836,0.11455281575520833,0.020536295572916665,0.5403849283854166
4_SNN-Block1/1/step1-8_SepConv/step1_lif1,491520,288173,121328,63745,18274,203347,0.5862894694010417,0.41371053059895835,0.24684244791666668,0.12968953450520834,0.03717854817708333,0.5862894694010417
4_SNN-Block1/1/step1-8_SepConv/step5_lif3,983040,751714,179073,37091,15162,231326,0.7646830240885417,0.23531697591145834,0.1821624755859375,0.03773091634114583,0.015423583984375,0.7646830240885417
4_SNN-Block1/0/step10-11_conv1/step10_lif,491520,233668,172665,72901,12286,257852,0.47539876302083334,0.5246012369791667,0.351287841796875,0.14831746419270833,0.024995930989583335,0.47539876302083334
4_SNN-Block1/0/step12-13_conv2/step12_lif,1966080,1722654,199134,37575,6717,243426,0.8761871337890625,0.1238128662109375,0.1012847900390625,0.01911163330078125,0.00341644287109375,0.8761871337890625
4_SNN-Block1/0/step1-8_SepConv/step3_lif2,983040,611573,245979,98070,27418,371467,0.6221242268880208,0.3778757731119792,0.2502227783203125,0.099761962890625,0.027891031901041665,0.6221242268880208
4_SNN-Block1/0/step1-8_SepConv/step7_lif4,491520,278004,152810,49991,10715,213516,0.5656005859375,0.4343994140625,0.3108927408854167,0.10170694986979166,0.021799723307291668,0.5656005859375
4_SNN-Block1/0/step1-8_SepConv/step1_lif1,491520,266377,172531,44739,7873,225143,0.5419453938802083,0.45805460611979165,0.35101521809895836,0.091021728515625,0.016017659505208334,0.5419453938802083
4_SNN-Block1/0/step1-8_SepConv/step5_lif3,983040,720140,202762,42032,18106,262900,0.7325642903645834,0.2674357096354167,0.20626017252604167,0.04275716145833333,0.018418375651041666,0.7325642903645834
22_SNN-Block-2/step16-21_conv2/step20_lif3,737280,596851,108097,23611,8721,140429,0.8095309787326389,0.19046902126736112,0.1466159396701389,0.03202446831597222,0.01182861328125,0.8095309787326389
22_SNN-Block-2/step16-21_conv2/step18_lif2,737280,546405,148301,36031,6543,190875,0.7411092122395834,0.2588907877604167,0.20114610460069443,0.04887017144097222,0.00887451171875,0.7411092122395834
22_SNN-Block-2/step16-21_conv2/step16_lif1,737280,540886,155183,35215,5996,196394,0.7336235894097223,0.2663764105902778,0.21048041449652777,0.04776340060763889,0.00813259548611111,0.7336235894097223
22_SNN-Block-2/step10-15_conv1/step10_lif1,245760,177697,46361,16554,5148,68063,0.7230509440104167,0.27694905598958336,0.18864339192708332,0.0673583984375,0.020947265625,0.7230509440104167
22_SNN-Block-2/step10-15_conv1/step14_lif3,245760,176058,46362,14836,8504,69702,0.7163818359375,0.2836181640625,0.1886474609375,0.06036783854166667,0.03460286458333333,0.7163818359375
22_SNN-Block-2/step10-15_conv1/step12_lif2,245760,166490,56709,18071,4490,79270,0.6774495442708334,0.3225504557291667,0.23074951171875,0.07353108723958333,0.018269856770833332,0.6774495442708334
22_SNN-Block-2/step1-8_SepConv/step3_lif2,491520,381583,83989,21635,4313,109937,0.7763326009114583,0.22366739908854166,0.17087605794270833,0.044016520182291664,0.008774820963541667,0.7763326009114583
22_SNN-Block-2/step1-8_SepConv/step7_lif4,245760,141641,72300,25753,6066,104119,0.5763387044270833,0.42366129557291665,0.294189453125,0.10478922526041666,0.0246826171875,0.5763387044270833
22_SNN-Block-2/step1-8_SepConv/step1_lif1,245760,164420,67266,12662,1412,81340,0.6690266927083334,0.3309733072916667,0.2737060546875,0.05152180989583333,0.005745442708333334,0.6690266927083334
22_SNN-Block-2/step1-8_SepConv/step5_lif3,491520,385875,84803,15361,5481,105645,0.785064697265625,0.214935302734375,0.17253214518229168,0.03125203450520833,0.011151123046875,0.785064697265625
2_SNN-Block-1/step10-11_conv1/step10_lif,983040,174266,435568,316623,56583,808774,0.17727254231770834,0.8227274576822917,0.44308268229166664,0.3220855712890625,0.0575592041015625,0.17727254231770834
2_SNN-Block-1/step12-13_conv2/step12_lif,3932160,3474571,354068,73235,30286,457589,0.8836290995279948,0.11637090047200521,0.09004414876302083,0.018624623616536457,0.0077021280924479164,0.8836290995279948
2_SNN-Block-1/step1-8_SepConv/step3_lif2,1966080,924961,636995,297026,107098,1041119,0.4704594930013021,0.5295405069986979,0.32399241129557294,0.15107523600260417,0.054472859700520834,0.4704594930013021
2_SNN-Block-1/step1-8_SepConv/step7_lif4,983040,379203,275771,203696,124370,603837,0.3857452392578125,0.6142547607421875,0.28052876790364584,0.20721028645833334,0.12651570638020834,0.3857452392578125
2_SNN-Block-1/step1-8_SepConv/step1_lif1,983040,303868,523677,132127,23368,679172,0.30911051432291664,0.6908894856770833,0.5327117919921875,0.13440653483072917,0.023771158854166665,0.30911051432291664
2_SNN-Block-1/step1-8_SepConv/step5_lif3,1966080,1059674,483485,278309,144612,906406,0.5389780680338542,0.4610219319661458,0.2459131876627604,0.14155527750651042,0.073553466796875,0.5389780680338542
8_SNN-Block-2/step16-21_conv2/step20_lif3,245760,193130,44558,6009,2063,52630,0.7858479817708334,0.21415201822916666,0.18130696614583333,0.02445068359375,0.008394368489583333,0.7858479817708334
8_SNN-Block-2/step16-21_conv2/step18_lif2,245760,176434,54866,12804,1656,69326,0.7179117838541667,0.28208821614583335,0.22325032552083332,0.052099609375,0.00673828125,0.7179117838541667
8_SNN-Block-2/step16-21_conv2/step16_lif1,245760,179946,53538,11005,1271,65814,0.7322021484375,0.2677978515625,0.2178466796875,0.044779459635416664,0.005171712239583333,0.7322021484375
8_SNN-Block-2/step10-15_conv1/step10_lif1,122880,104206,14229,3498,947,18674,0.8480305989583333,0.15196940104166667,0.1157958984375,0.028466796875,0.007706705729166667,0.8480305989583333
8_SNN-Block-2/step10-15_conv1/step14_lif3,122880,90685,26144,4186,1865,32195,0.7379964192708334,0.2620035807291667,0.21276041666666667,0.03406575520833333,0.015177408854166666,0.7379964192708334
8_SNN-Block-2/step10-15_conv1/step12_lif2,122880,89140,26612,6310,818,33740,0.7254231770833334,0.2745768229166667,0.21656901041666668,0.051350911458333336,0.0066569010416666664,0.7254231770833334
8_SNN-Block-2/step1-8_SepConv/step3_lif2,245760,191832,41246,10724,1958,53928,0.78056640625,0.21943359375,0.16783040364583332,0.04363606770833333,0.007967122395833333,0.78056640625
